0;POBYT NEURČEN PODLE MV ČR;;;;;374;0%;-374;;;;;;;;;;;;;;;1168;-130;-130;-130;-130;-130;-130;-130;-130;-130;0;-1 168;-649;-519;-1 168;0%;-1168;0;;Neznámá obec s rozšířenou působností;0;;5209;327;;5209;116
1101;Praha 1;25;6;18;17;160;16%;-109;185;0;27;22;6;6;8;12;10;9;15;13;29;125;540;-9;-12;-24;-24;-23;-19;-21;-22;-17;0;-171;-92;-79;-171;34%;-171;0;;Praha 1;1101;;6104;58;;6104;16
1102;Praha 2;36;11;29;27;214;17%;-136;184;3;1;5;0;3;2;8;5;9;14;30;15;22;747;-59;-56;-60;-57;-58;-54;-57;-54;-50;0;-505;-290;-214;-505;25%;-505;0;;Praha 10;1110;;6105;558;;6105;162
1103;Praha 3;31;7;18;6;304;10%;-255;318;2;35;23;16;32;6;25;5;22;12;4;7;21;929;-40;-49;-54;-42;-61;-47;-62;-49;-57;0;-461;-245;-216;-461;34%;-461;0;;Praha 11;1111;;6106;25;;6106;8
1104;Praha 4;173;72;163;219;755;23%;-296;1 135;63;243;264;193;154;223;215;211;203;281;25;21;2 575;2541;251;266;213;184;236;220;217;211;270;2 067;0;1 149;918;2 067;45%;2067;0;;Praha 12;1112;;6107;52;;6107;10
1105;Praha 5;77;33;40;203;661;12%;-402;757;5;123;110;110;95;87;89;67;70;168;12;18;146;2216;-57;-66;-66;-78;-84;-83;-99;-97;-23;0;-654;-351;-302;-654;34%;-654;0;;Praha 13;1113;;6108;88;;6108;34
1106;Praha 6;51;19;24;101;349;15%;-204;368;21;55;69;58;72;48;67;46;64;41;0;12;140;1288;-46;-36;-44;-33;-51;-40;-56;-42;-60;0;-408;-211;-198;-408;29%;-408;0;;Praha 14;1114;;6109;60;;6109;15
1107;Praha 7;8;3;8;38;107;7%;-65;15;0;104;82;98;96;94;94;103;111;91;22;7;10;365;40;24;36;34;33;33;39;45;30;315;0;167;148;315;4%;315;0;;Praha 15;1115;;6110;276;;6110;77
1108;Praha 8;47;19;62;54;290;16%;-156;88;15;138;149;93;114;73;81;66;104;146;16;13;386;1108;25;33;-9;7;-24;-20;-31;-3;29;94;-87;32;-26;7;8%;7;0;;Praha 16;1116;;6111;70;;6111;24
1109;Praha 9;81;34;150;88;689;12%;-430;585;6;86;95;95;117;113;101;76;106;79;10;14;171;2368;-118;-112;-112;-95;-98;-108;-127;-104;-124;0;-997;-534;-463;-997;25%;-997;0;;Praha 17;1117;;6112;68;;6112;26
1110;Praha 10;50;22;105;112;531;9%;-318;539;3;147;143;128;146;138;108;106;90;177;2;3;206;1817;-14;-17;-28;-15;-21;-44;-45;-57;8;8;-241;-95;-138;-234;30%;-234;0;;Praha 18;1118;;6113;200;;6113;70
2101;Benešov;15;6;119;41;119;13%;16;108;35;95;59;83;78;57;47;80;85;65;0;6;112;402;53;26;44;40;25;12;37;41;26;304;0;189;115;304;27%;304;0;;Benešov;2101;;1101;540;;1101;160
2102;Beroun;21;8;26;12;83;25%;-34;188;45;88;65;33;42;56;30;47;45;48;2;2;38;361;57;39;15;22;33;6;19;18;20;230;0;167;63;230;52%;230;0;;Beroun;2102;;1102;747;;1102;214
2103;Brandýs nad Labem;46;26;171;166;251;18%;48;255;34;131;113;120;121;127;88;70;99;82;8;9;96;894;41;27;32;33;38;3;-10;11;-1;185;-12;170;3;173;29%;173;0;;Brandýs nad Labem;2103;;1110;1817;;1110;531
2104;Čáslav;0;0;25;0;48;0%;-29;68;50;25;33;32;34;26;16;34;17;37;3;2;19;120;22;28;27;29;23;8;21;9;24;191;0;129;61;191;57%;191;0;;Čáslav;2104;;2108;236;;2108;55
2105;Černošice;54;29;169;110;344;16%;-81;303;42;126;121;137;113;65;68;85;82;83;1;0;313;1169;31;27;39;21;-15;-19;-6;-9;-8;117;-57;102;-42;60;26%;60;0;;Černošice;2105;;2109;625;;2109;162
2106;Český Brod;3;2;13;8;34;9%;-15;6;10;2;2;1;0;2;1;3;2;0;10;10;15;121;-8;-8;-9;-10;-8;-11;-9;-10;-11;0;-85;-44;-41;-85;5%;-85;0;;Český Brod;2106;;2113;429;;2113;124
2107;Dobříš;2;2;26;5;26;8%;-1;71;29;35;31;23;20;15;26;18;28;10;0;10;58;106;32;29;23;20;17;21;15;22;9;186;0;119;66;186;67%;186;0;;Dobříš;2107;;2119;173;;2119;54
2108;Hořovice;3;2;14;2;55;5%;-40;119;19;28;33;33;35;17;22;29;36;27;11;10;57;236;16;20;20;21;8;9;14;19;12;137;0;84;54;137;50%;137;0;;Hořovice;2108;;3110;72;;3110;26
2109;Kladno;50;26;92;74;162;31%;13;292;77;142;140;97;114;91;102;134;116;134;21;16;174;625;96;94;62;75;58;54;78;65;78;661;0;385;276;661;47%;661;0;;Kladno;2109;;3215;364;;3215;73
2110;Kolín;31;11;14;47;166;19%;-89;100;39;59;61;51;44;56;44;37;42;35;22;22;183;551;16;17;10;4;13;-1;-7;-3;-8;60;-19;60;-19;42;18%;42;0;;Kolín;2110;;4102;383;;4102;108
2111;Kralupy nad Vltavou;4;2;11;46;78;5%;-31;91;38;13;31;28;20;4;17;26;31;35;0;12;13;225;2;15;13;7;-5;-1;6;10;13;65;-6;31;28;59;40%;59;0;;Kralupy nad Vltavou;2111;;4201;50;;4201;23
